employee_id,duration,store_id,role,total_hours,overtime_hours,regular_hours,total_labor_cost_mxn
E00144,5,S002,Customer Service,5,0,5,425.0
E00145,5,S002,Cashier,5,0,5,375.0
E00147,36,S002,Customer Service,36,0,36,3060.0
E00148,14,S002,Floor,14,0,14,980.0
E00151,13,S002,Cashier,13,0,13,975.0
E00152,11,S002,Cashier,11,0,11,825.0
E00153,18,S002,Cashier,18,0,18,1350.0
E00154,21,S002,Floor,21,0,21,1470.0
E00155,8,S002,Floor,8,0,8,560.0
E00157,8,S002,Customer Service,8,0,8,680.0
E00158,20,S002,Floor,20,0,20,1400.0
E00160,27,S002,Stock,27,0,27,1755.0
E00161,27,S003,Cashier,27,0,27,2025.0
E00163,26,S003,Cashier,26,0,26,1950.0
E00165,11,S003,Floor,11,0,11,770.0
E00167,12,S003,Stock,12,0,12,780.0
E00168,27,S003,Cashier,27,0,27,2025.0
E00169,18,S003,Stock,18,0,18,1170.0
E00170,32,S003,Cashier,32,0,32,2400.0
E00171,16,S003,Floor,16,0,16,1120.0
E00172,16,S003,Supervisor,16,0,16,1920.0
E00173,6,S003,Stock,6,0,6,390.0
E00174,18,S003,Floor,18,0,18,1260.0
E00175,36,S003,Floor,36,0,36,2520.0
E00176,5,S003,Stock,5,0,5,325.0
E00177,40,S003,Customer Service,40,0,40,3400.0
E00178,21,S003,Cashier,21,0,21,1575.0
E00180,10,S003,Stock,10,0,10,650.0
E00181,23,S003,Floor,23,0,23,1610.0
E00182,40,S003,Customer Service,40,0,40,3400.0
E00183,27,S003,Cashier,27,0,27,2025.0
E00184,5,S003,Stock,5,0,5,325.0
E00185,40,S003,Supervisor,40,0,40,4800.0
E00188,40,S003,Supervisor,40,0,40,4800.0
E00189,16,S003,Floor,16,0,16,1120.0
E00192,11,S003,Floor,11,0,11,770.0
E00193,37,S003,Floor,37,0,37,2590.0
E00194,28,S003,Cashier,28,0,28,2100.0
E00195,10,S003,Floor,10,0,10,700.0
E00196,30,S003,Cashier,30,0,30,2250.0
E00197,16,S003,Floor,16,0,16,1120.0
E00198,31,S003,Cashier,31,0,31,2325.0
E00199,6,S003,Stock,6,0,6,390.0
E00200,11,S003,Stock,11,0,11,715.0
E00202,5,S003,Floor,5,0,5,350.0
E00203,11,S003,Floor,11,0,11,770.0
E00204,24,S003,Floor,24,0,24,1680.0
E00205,14,S003,Stock,14,0,14,910.0
E00206,26,S003,Floor,26,0,26,1820.0
E00207,24,S003,Supervisor,24,0,24,2880.0
E00209,11,S003,Cashier,11,0,11,825.0
E00210,40,S003,Customer Service,40,0,40,3400.0
E00211,24,S003,Cashier,24,0,24,1800.0
E00212,22,S003,Floor,22,0,22,1540.0
E00213,18,S003,Stock,18,0,18,1170.0
E00214,15,S003,Floor,15,0,15,1050.0
E00215,16,S003,Cashier,16,0,16,1200.0
E00216,27,S003,Stock,27,0,27,1755.0
E00217,11,S003,Floor,11,0,11,770.0
E00218,17,S003,Floor,17,0,17,1190.0
E00219,18,S003,Stock,18,0,18,1170.0
E00220,40,S003,Supervisor,40,0,40,4800.0
E00221,5,S003,Floor,5,0,5,350.0
E00223,21,S003,Cashier,21,0,21,1575.0
E00224,15,S003,Cashier,15,0,15,1125.0
E00225,13,S003,Stock,13,0,13,845.0
E00226,40,S003,Customer Service,40,0,40,3400.0
E00227,24,S003,Cashier,24,0,24,1800.0
E00228,16,S003,Stock,16,0,16,1040.0
E00229,24,S003,Supervisor,24,0,24,2880.0
E00230,8,S003,Stock,8,0,8,520.0
E00231,23,S003,Floor,23,0,23,1610.0
E00233,10,S003,Stock,10,0,10,650.0
E00234,40,S003,Customer Service,40,0,40,3400.0
E00235,35,S003,Cashier,35,0,35,2625.0
E00236,13,S003,Stock,13,0,13,845.0
E00237,31,S003,Cashier,31,0,31,2325.0
E00238,16,S003,Cashier,16,0,16,1200.0
E00240,40,S003,Customer Service,40,0,40,3400.0
E00241,8,S004,Floor,8,0,8,560.0
E00242,16,S004,Cashier,16,0,16,1200.0
E00243,8,S004,Cashier,8,0,8,600.0
E00246,21,S004,Customer Service,21,0,21,1785.0
E00248,8,S004,Supervisor,8,0,8,960.0
E00250,40,S004,Supervisor,40,0,40,4800.0
E00251,11,S004,Cashier,11,0,11,825.0
E00252,8,S004,Floor,8,0,8,560.0
E00253,5,S004,Floor,5,0,5,350.0
E00254,8,S004,Cashier,8,0,8,600.0
E00256,16,S004,Floor,16,0,16,1120.0
E00257,29,S004,Floor,29,0,29,2030.0
E00258,29,S004,Customer Service,29,0,29,2465.0
E00259,12,S004,Floor,12,0,12,840.0
E00261,13,S004,Cashier,13,0,13,975.0
E00262,16,S004,Supervisor,16,0,16,1920.0
E00263,14,S004,Stock,14,0,14,910.0
E00265,16,S004,Supervisor,16,0,16,1920.0
E00266,8,S004,Supervisor,8,0,8,960.0
E00267,10,S004,Stock,10,0,10,650.0
E00268,16,S004,Supervisor,16,0,16,1920.0
E00271,22,S004,Floor,22,0,22,1540.0
E00272,24,S004,Supervisor,24,0,24,2880.0
E00273,13,S004,Cashier,13,0,13,975.0
E00275,10,S004,Floor,10,0,10,700.0
E00276,13,S004,Cashier,13,0,13,975.0
E00277,17,S004,Cashier,17,0,17,1275.0
E00278,20,S004,Cashier,20,0,20,1500.0
E00279,16,S004,Supervisor,16,0,16,1920.0
E00280,6,S004,Cashier,6,0,6,450.0
E00281,8,S004,Cashier,8,0,8,600.0
E00282,36,S004,Customer Service,36,0,36,3060.0
E00283,18,S004,Cashier,18,0,18,1350.0
E00284,21,S004,Cashier,21,0,21,1575.0
E00285,18,S004,Cashier,18,0,18,1350.0
E00286,29,S004,Customer Service,29,0,29,2465.0
E00288,16,S004,Supervisor,16,0,16,1920.0
E00289,6,S004,Cashier,6,0,6,450.0
E00290,6,S004,Stock,6,0,6,390.0
E00292,5,S004,Cashier,5,0,5,375.0
E00294,5,S004,Stock,5,0,5,325.0
E00295,31,S004,Floor,31,0,31,2170.0
E00296,12,S004,Floor,12,0,12,840.0
E00298,10,S004,Cashier,10,0,10,750.0
E00299,11,S004,Floor,11,0,11,770.0
E00300,12,S004,Stock,12,0,12,780.0
E00301,22,S004,Customer Service,22,0,22,1870.0
E00302,16,S004,Stock,16,0,16,1040.0
E00303,8,S004,Stock,8,0,8,520.0
E00304,28,S004,Floor,28,0,28,1960.0
E00305,5,S004,Stock,5,0,5,325.0
E00307,16,S004,Cashier,16,0,16,1200.0
E00308,12,S004,Stock,12,0,12,780.0
E00309,13,S004,Stock,13,0,13,845.0
E00310,8,S004,Supervisor,8,0,8,960.0
E00311,16,S004,Stock,16,0,16,1040.0
E00312,24,S004,Cashier,24,0,24,1800.0
E00313,21,S004,Stock,21,0,21,1365.0
E00314,5,S004,Stock,5,0,5,325.0
E00315,19,S004,Cashier,19,0,19,1425.0
E00318,33,S004,Floor,33,0,33,2310.0
E00319,16,S004,Floor,16,0,16,1120.0
E00320,39,S004,Customer Service,39,0,39,3315.0
E00321,12,S005,Floor,12,0,12,840.0
E00322,8,S005,Cashier,8,0,8,600.0
E00323,5,S005,Cashier,5,0,5,375.0
E00324,8,S005,Cashier,8,0,8,600.0
E00325,21,S005,Cashier,21,0,21,1575.0
E00326,16,S005,Stock,16,0,16,1040.0
E00327,14,S005,Cashier,14,0,14,1050.0
E00328,8,S005,Supervisor,8,0,8,960.0
E00331,10,S005,Stock,10,0,10,650.0
E00332,22,S005,Floor,22,0,22,1540.0
E00333,24,S005,Supervisor,24,0,24,2880.0
E00334,16,S005,Supervisor,16,0,16,1920.0
E00335,8,S005,Customer Service,8,0,8,680.0
E00336,6,S005,Stock,6,0,6,390.0
E00337,13,S005,Stock,13,0,13,845.0
E00339,19,S005,Cashier,19,0,19,1425.0
E00340,10,S005,Cashier,10,0,10,750.0
E00343,14,S005,Floor,14,0,14,980.0
E00345,10,S005,Customer Service,10,0,10,850.0
E00346,17,S005,Floor,17,0,17,1190.0
E00347,5,S005,Stock,5,0,5,325.0
E00348,6,S005,Stock,6,0,6,390.0
E00349,24,S005,Supervisor,24,0,24,2880.0
E00350,8,S005,Cashier,8,0,8,600.0
E00351,8,S005,Stock,8,0,8,520.0
E00352,5,S005,Cashier,5,0,5,375.0
E00353,14,S005,Customer Service,14,0,14,1190.0
E00355,8,S005,Cashier,8,0,8,600.0
E00356,17,S005,Customer Service,17,0,17,1445.0
E00357,21,S005,Cashier,21,0,21,1575.0
E00358,15,S005,Floor,15,0,15,1050.0
E00359,5,S005,Cashier,5,0,5,375.0
E00360,8,S005,Supervisor,8,0,8,960.0
E00362,21,S005,Customer Service,21,0,21,1785.0
E00363,5,S005,Cashier,5,0,5,375.0
E00364,22,S005,Floor,22,0,22,1540.0
E00365,12,S005,Cashier,12,0,12,900.0
E00366,11,S005,Cashier,11,0,11,825.0
E00367,21,S005,Customer Service,21,0,21,1785.0
E00368,20,S005,Stock,20,0,20,1300.0
E00369,21,S005,Floor,21,0,21,1470.0
E00370,24,S005,Floor,24,0,24,1680.0
E00371,8,S005,Cashier,8,0,8,600.0
E00373,8,S005,Stock,8,0,8,520.0
E00374,11,S005,Customer Service,11,0,11,935.0
E00375,5,S005,Cashier,5,0,5,375.0
E00376,32,S005,Cashier,32,0,32,2400.0
E00377,16,S005,Stock,16,0,16,1040.0
E00379,10,S005,Cashier,10,0,10,750.0
E00380,16,S005,Supervisor,16,0,16,1920.0
E00381,13,S005,Cashier,13,0,13,975.0
E00382,6,S005,Stock,6,0,6,390.0
E00383,24,S005,Supervisor,24,0,24,2880.0
E00384,16,S005,Cashier,16,0,16,1200.0
E00385,15,S005,Stock,15,0,15,975.0
E00386,36,S005,Floor,36,0,36,2520.0
E00388,14,S005,Cashier,14,0,14,1050.0
E00389,27,S005,Customer Service,27,0,27,2295.0
E00390,30,S005,Floor,30,0,30,2100.0
E00391,11,S005,Floor,11,0,11,770.0
E00392,17,S005,Floor,17,0,17,1190.0
E00393,16,S005,Supervisor,16,0,16,1920.0
E00394,32,S005,Supervisor,32,0,32,3840.0
E00395,26,S005,Customer Service,26,0,26,2210.0
E00396,14,S005,Stock,14,0,14,910.0
E00397,13,S005,Customer Service,13,0,13,1105.0
E00398,5,S005,Cashier,5,0,5,375.0
E00399,5,S005,Cashier,5,0,5,375.0
E00400,5,S005,Cashier,5,0,5,375.0
E00401,5,S006,Stock,5,0,5,325.0
E00402,8,S006,Supervisor,8,0,8,960.0
E00403,5,S006,Customer Service,5,0,5,425.0
E00404,6,S006,Floor,6,0,6,420.0
E00405,11,S006,Stock,11,0,11,715.0
E00407,6,S006,Stock,6,0,6,390.0
E00408,11,S006,Cashier,11,0,11,825.0
E00409,16,S006,Floor,16,0,16,1120.0
E00410,8,S006,Stock,8,0,8,520.0
E00411,10,S006,Customer Service,10,0,10,850.0
E00412,8,S006,Stock,8,0,8,520.0
E00413,8,S006,Stock,8,0,8,520.0
E00415,32,S006,Floor,32,0,32,2240.0
E00416,13,S006,Customer Service,13,0,13,1105.0
E00418,8,S006,Cashier,8,0,8,600.0
E00420,20,S006,Stock,20,0,20,1300.0
E00421,11,S006,Floor,11,0,11,770.0
E00422,18,S006,Cashier,18,0,18,1350.0
E00423,12,S006,Floor,12,0,12,840.0
E00424,12,S006,Stock,12,0,12,780.0
E00425,16,S006,Supervisor,16,0,16,1920.0
E00426,5,S006,Stock,5,0,5,325.0
E00427,29,S006,Cashier,29,0,29,2175.0
E00428,24,S006,Supervisor,24,0,24,2880.0
E00429,32,S006,Supervisor,32,0,32,3840.0
E00432,24,S006,Cashier,24,0,24,1800.0
E00434,18,S006,Floor,18,0,18,1260.0
E00435,21,S006,Cashier,21,0,21,1575.0
E00436,19,S006,Floor,19,0,19,1330.0
E00437,32,S006,Customer Service,32,0,32,2720.0
E00438,8,S006,Floor,8,0,8,560.0
E00439,21,S006,Customer Service,21,0,21,1785.0
E00442,40,S006,Floor,40,0,40,2800.0
E00443,13,S006,Customer Service,13,0,13,1105.0
E00444,23,S006,Floor,23,0,23,1610.0
E00445,11,S006,Cashier,11,0,11,825.0
E00446,8,S006,Stock,8,0,8,520.0
E00447,31,S006,Cashier,31,0,31,2325.0
E00448,19,S006,Customer Service,19,0,19,1615.0
E00449,16,S006,Cashier,16,0,16,1200.0
E00450,24,S006,Floor,24,0,24,1680.0
E00451,14,S006,Cashier,14,0,14,1050.0
E00452,10,S006,Floor,10,0,10,700.0
E00453,6,S006,Cashier,6,0,6,450.0
E00454,20,S006,Stock,20,0,20,1300.0
E00455,8,S006,Floor,8,0,8,560.0
E00456,24,S006,Supervisor,24,0,24,2880.0
E00457,8,S006,Floor,8,0,8,560.0
E00458,16,S006,Stock,16,0,16,1040.0
E00459,8,S006,Cashier,8,0,8,600.0
E00461,6,S006,Cashier,6,0,6,450.0
E00462,5,S006,Customer Service,5,0,5,425.0
E00464,14,S006,Customer Service,14,0,14,1190.0
E00465,16,S006,Stock,16,0,16,1040.0
E00467,8,S006,Cashier,8,0,8,600.0
E00468,18,S006,Cashier,18,0,18,1350.0
E00469,36,S006,Customer Service,36,0,36,3060.0
E00471,32,S006,Supervisor,32,0,32,3840.0
E00472,13,S006,Cashier,13,0,13,975.0
E00473,16,S006,Cashier,16,0,16,1200.0
E00475,6,S006,Floor,6,0,6,420.0
E00477,24,S006,Supervisor,24,0,24,2880.0
E00478,8,S006,Supervisor,8,0,8,960.0
E00479,8,S006,Cashier,8,0,8,600.0
E00481,14,S007,Stock,14,0,14,910.0
E00482,5,S007,Floor,5,0,5,350.0
E00483,27,S007,Cashier,27,0,27,2025.0
E00484,39,S007,Cashier,39,0,39,2925.0
E00485,38,S007,Customer Service,38,0,38,3230.0
E00486,18,S007,Floor,18,0,18,1260.0
E00487,32,S007,Supervisor,32,0,32,3840.0
E00488,37,S007,Cashier,37,0,37,2775.0
E00489,39,S007,Cashier,39,0,39,2925.0
E00490,26,S007,Cashier,26,0,26,1950.0
E00491,22,S007,Stock,22,0,22,1430.0
E00492,20,S007,Floor,20,0,20,1400.0
E00494,33,S007,Stock,33,0,33,2145.0
E00496,22,S007,Stock,22,0,22,1430.0
E00497,39,S007,Cashier,39,0,39,2925.0
E00498,29,S007,Floor,29,0,29,2030.0
E00499,21,S007,Floor,21,0,21,1470.0
E00500,16,S007,Stock,16,0,16,1040.0
E00501,27,S007,Floor,27,0,27,1890.0
E00503,40,S007,Supervisor,40,0,40,4800.0
E00504,28,S007,Stock,28,0,28,1820.0
E00505,40,S007,Customer Service,40,0,40,3400.0
E00506,24,S007,Floor,24,0,24,1680.0
E00507,29,S007,Cashier,29,0,29,2175.0
E00508,31,S007,Cashier,31,0,31,2325.0
E00509,32,S007,Supervisor,32,0,32,3840.0
E00510,17,S007,Floor,17,0,17,1190.0
E00511,28,S007,Stock,28,0,28,1820.0
E00512,32,S007,Cashier,32,0,32,2400.0
E00513,19,S007,Floor,19,0,19,1330.0
E00515,40,S007,Customer Service,40,0,40,3400.0
E00517,26,S007,Floor,26,0,26,1820.0
E00518,24,S007,Floor,24,0,24,1680.0
E00522,40,S007,Customer Service,40,0,40,3400.0
E00523,21,S007,Floor,21,0,21,1470.0
E00524,36,S007,Cashier,36,0,36,2700.0
E00525,40,S007,Cashier,40,0,40,3000.0
E00526,37,S007,Cashier,37,0,37,2775.0
E00527,38,S007,Cashier,38,0,38,2850.0
E00528,40,S007,Customer Service,40,0,40,3400.0
E00529,30,S007,Floor,30,0,30,2100.0
E00530,22,S007,Floor,22,0,22,1540.0
E00531,24,S007,Supervisor,24,0,24,2880.0
E00532,30,S007,Floor,30,0,30,2100.0
E00533,21,S007,Floor,21,0,21,1470.0
E00534,10,S007,Stock,10,0,10,650.0
E00535,37,S007,Cashier,37,0,37,2775.0
E00536,30,S007,Cashier,30,0,30,2250.0
E00537,18,S007,Floor,18,0,18,1260.0
E00538,24,S007,Floor,24,0,24,1680.0
E00540,35,S007,Floor,35,0,35,2450.0
E00541,32,S007,Supervisor,32,0,32,3840.0
E00542,20,S007,Floor,20,0,20,1400.0
E00543,40,S007,Supervisor,40,0,40,4800.0
E00544,19,S007,Stock,19,0,19,1235.0
E00545,37,S007,Floor,37,0,37,2590.0
E00546,37,S007,Cashier,37,0,37,2775.0
E00547,19,S007,Floor,19,0,19,1330.0
E00548,39,S007,Cashier,39,0,39,2925.0
E00549,29,S007,Cashier,29,0,29,2175.0
E00550,8,S007,Floor,8,0,8,560.0
E00552,16,S007,Stock,16,0,16,1040.0
E00553,27,S007,Stock,27,0,27,1755.0
E00554,40,S007,Customer Service,40,0,40,3400.0
E00555,26,S007,Stock,26,0,26,1690.0
E00557,21,S007,Stock,21,0,21,1365.0
E00558,40,S007,Supervisor,40,0,40,4800.0
E00559,5,S007,Floor,5,0,5,350.0
E00560,10,S007,Stock,10,0,10,650.0
E00561,30,S008,Floor,30,0,30,2100.0
E00564,14,S008,Stock,14,0,14,910.0
E00565,5,S008,Cashier,5,0,5,375.0
E00566,8,S008,Supervisor,8,0,8,960.0
E00567,10,S008,Stock,10,0,10,650.0
E00568,15,S008,Customer Service,15,0,15,1275.0
E00569,38,S008,Customer Service,38,0,38,3230.0
E00570,40,S008,Floor,40,0,40,2800.0
E00572,8,S008,Supervisor,8,0,8,960.0
E00573,13,S008,Stock,13,0,13,845.0
E00574,24,S008,Stock,24,0,24,1560.0
E00575,40,S008,Customer Service,40,0,40,3400.0
E00577,36,S008,Floor,36,0,36,2520.0
E00579,19,S008,Stock,19,0,19,1235.0
E00581,20,S008,Cashier,20,0,20,1500.0
E00584,5,S008,Stock,5,0,5,325.0
E00585,8,S008,Supervisor,8,0,8,960.0
E00586,32,S008,Customer Service,32,0,32,2720.0
E00587,31,S008,Floor,31,0,31,2170.0
E00588,11,S008,Cashier,11,0,11,825.0
E00589,5,S008,Stock,5,0,5,325.0
E00592,24,S008,Cashier,24,0,24,1800.0
E00593,21,S008,Floor,21,0,21,1470.0
E00594,5,S008,Stock,5,0,5,325.0
E00595,16,S008,Supervisor,16,0,16,1920.0
E00596,34,S008,Customer Service,34,0,34,2890.0
E00597,27,S008,Floor,27,0,27,1890.0
E00598,32,S008,Supervisor,32,0,32,3840.0
E00599,11,S008,Stock,11,0,11,715.0
E00600,27,S008,Cashier,27,0,27,2025.0
E00601,35,S008,Cashier,35,0,35,2625.0
E00602,12,S008,Cashier,12,0,12,900.0
E00603,31,S008,Cashier,31,0,31,2325.0
E00604,29,S008,Cashier,29,0,29,2175.0
E00605,34,S008,Floor,34,0,34,2380.0
E00606,33,S008,Customer Service,33,0,33,2805.0
E00607,16,S008,Supervisor,16,0,16,1920.0
E00608,32,S008,Cashier,32,0,32,2400.0
E00609,24,S008,Supervisor,24,0,24,2880.0
E00610,24,S008,Cashier,24,0,24,1800.0
E00611,5,S008,Stock,5,0,5,325.0
E00612,8,S008,Supervisor,8,0,8,960.0
E00613,5,S008,Stock,5,0,5,325.0
E00614,22,S008,Cashier,22,0,22,1650.0
E00615,31,S008,Cashier,31,0,31,2325.0
E00616,22,S008,Stock,22,0,22,1430.0
E00617,18,S008,Stock,18,0,18,1170.0
E00618,6,S008,Stock,6,0,6,390.0
E00619,21,S008,Stock,21,0,21,1365.0
E00620,30,S008,Floor,30,0,30,2100.0
E00622,37,S008,Customer Service,37,0,37,3145.0
E00623,16,S008,Supervisor,16,0,16,1920.0
E00624,15,S008,Cashier,15,0,15,1125.0
E00625,22,S008,Cashier,22,0,22,1650.0
E00626,23,S008,Floor,23,0,23,1610.0
E00627,24,S008,Supervisor,24,0,24,2880.0
E00628,29,S008,Cashier,29,0,29,2175.0
E00629,24,S008,Floor,24,0,24,1680.0
E00630,16,S008,Stock,16,0,16,1040.0
E00631,21,S008,Cashier,21,0,21,1575.0
E00632,5,S008,Stock,5,0,5,325.0
E00633,20,S008,Cashier,20,0,20,1500.0
E00634,39,S008,Customer Service,39,0,39,3315.0
E00635,30,S008,Floor,30,0,30,2100.0
E00636,27,S008,Cashier,27,0,27,2025.0
E00637,14,S008,Stock,14,0,14,910.0
E00638,35,S008,Floor,35,0,35,2450.0
E00640,24,S008,Supervisor,24,0,24,2880.0
E00641,17,S009,Cashier,17,0,17,1275.0
E00642,32,S009,Supervisor,32,0,32,3840.0
E00643,13,S009,Floor,13,0,13,910.0
E00644,8,S009,Stock,8,0,8,520.0
E00646,40,S009,Customer Service,40,0,40,3400.0
E00649,8,S009,Floor,8,0,8,560.0
E00650,12,S009,Floor,12,0,12,840.0
E00651,40,S009,Customer Service,40,0,40,3400.0
E00652,19,S009,Floor,19,0,19,1330.0
E00653,21,S009,Cashier,21,0,21,1575.0
E00654,40,S009,Customer Service,40,0,40,3400.0
E00656,17,S009,Stock,17,0,17,1105.0
E00657,29,S009,Floor,29,0,29,2030.0
E00658,21,S009,Floor,21,0,21,1470.0
E00659,11,S009,Floor,11,0,11,770.0
E00660,5,S009,Stock,5,0,5,325.0
E00661,23,S009,Cashier,23,0,23,1725.0
E00662,26,S009,Stock,26,0,26,1690.0
E00663,14,S009,Floor,14,0,14,980.0
E00664,32,S009,Supervisor,32,0,32,3840.0
E00665,8,S009,Stock,8,0,8,520.0
E00666,40,S009,Customer Service,40,0,40,3400.0
E00667,35,S009,Cashier,35,0,35,2625.0
E00668,32,S009,Supervisor,32,0,32,3840.0
E00669,37,S009,Customer Service,37,0,37,3145.0
E00670,11,S009,Floor,11,0,11,770.0
E00671,21,S009,Floor,21,0,21,1470.0
E00672,28,S009,Cashier,28,0,28,2100.0
E00673,16,S009,Floor,16,0,16,1120.0
E00674,21,S009,Floor,21,0,21,1470.0
E00677,24,S009,Floor,24,0,24,1680.0
E00678,32,S009,Supervisor,32,0,32,3840.0
E00679,5,S009,Floor,5,0,5,350.0
E00680,23,S009,Cashier,23,0,23,1725.0
E00681,40,S009,Customer Service,40,0,40,3400.0
E00682,24,S009,Stock,24,0,24,1560.0
E00683,16,S009,Floor,16,0,16,1120.0
E00684,5,S009,Stock,5,0,5,325.0
